proximity, shade, brightness
215,328451,11
215,328707,11
214,328707,11
214,328451,11
215,328451,11
216,328450,11
217,328451,11
218,328450,11
216,328450,11
217,328450,11
214,328450,11
214,328450,11
216,328450,11
217,328706,11
214,328450,11
215,328450,11
215,328706,11
216,328450,11
215,328450,11
216,328450,11
215,328450,11
217,328707,11
216,328450,11
200,262657,7
197,262657,7
198,262657,7
200,262657,7
199,262657,7
198,262657,7
199,262657,7
199,262657,7
199,262657,7
198,262657,7
199,262657,7
201,196865,6
199,196865,5
199,131329,4
199,131329,3
197,65536,1
181,0,0
44,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,0
0,0,1
0,0,1
0,0,1
0,0,0
0,0,0
0,0,1
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
197,394243,12
199,394243,12
198,328450,10
196,262914,8
198,197122,6
197,65793,3
187,65536,2
143,0,1
0,657670,25
60,855048,32
61,789255,30
61,789255,30
57,789255,30
56,789255,30
56,789256,30
54,789256,31
56,789256,31
55,789255,30
52,789255,30
48,723719,29
53,723463,28
53,723463,28
53,723719,29
48,723719,29
53,723463,29
53,789255,29
60,789256,30
58,789256,31
60,789256,31
62,789256,31
61,789256,31
58,789256,30
58,789256,31
58,789256,30
54,789256,30
52,789256,30
59,789256,31
57,723719,29
66,723463,28
71,723719,29
71,723463,28
74,723719,28
72,723719,28
77,723719,29
81,723719,29
80,723719,29
82,723463,28
83,723719,28
85,789255,29
88,855048,32
96,986633,36
199,196865,5
199,196865,5
198,196865,6
199,196865,6
197,196865,6
200,196865,5
198,196865,5
200,196865,6
198,196865,6
197,196865,5
198,196865,6
198,262657,6
199,262657,6
198,197121,6
198,196865,6
199,196865,6
200,262657,7
201,262657,7
199,262657,7
200,262657,7
199,262657,7
198,262657,7
198,262657,7
198,131329,4
188,0,1
129,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
